source,target,relation_type,tweet_id,usernames
93938886,221932544,quote,1830957356047610265,"('traficogt', 'AztecaNoticiaGT')"
1131012993536405504,841122382710505472,mentioned,1830749832614682899,"('MarioChiu2', 'AlianzaRgt')"
1131012993536405504,93938886,mentioned,1830749832614682899,"('MarioChiu2', 'traficogt')"
1131012993536405504,257722705,mentioned,1830749832614682899,"('MarioChiu2', 'PrensaComunitar')"
1131012993536405504,38687143,mentioned,1830749832614682899,"('MarioChiu2', 'prensa_libre')"
1131012993536405504,252783353,mentioned,1830749832614682899,"('MarioChiu2', 'PlazaPublicaGT')"
1131012993536405504,710243881409839104,mentioned,1830749832614682899,"('MarioChiu2', 'PublinewsGT')"
1131012993536405504,299809292,mentioned,1830749832614682899,"('MarioChiu2', 'RadioPuntoGT')"
1131012993536405504,221932544,mentioned,1830749832614682899,"('MarioChiu2', 'AztecaNoticiaGT')"
1131012993536405504,168557941,mentioned,1830749832614682899,"('MarioChiu2', 'lahoragt')"
1131012993536405504,783345301256073216,mentioned,1830749832614682899,"('MarioChiu2', 'CC_Guatemala')"
1131012993536405504,149585307,mentioned,1830749832614682899,"('MarioChiu2', 'OJGuatemala')"
1131012993536405504,609174347,mentioned,1830749832614682899,"('MarioChiu2', 'MPguatemala')"
874840226,257722705,mentioned,1830731277735207350,"('PastoraJCastro', 'PrensaComunitar')"
874840226,93938886,mentioned,1830731277735207350,"('PastoraJCastro', 'traficogt')"
3423428627,4784849268,mentioned,1830595872729735651,"('efonseca2841', 'MUNIVCANALES')"
3423428627,93938886,mentioned,1830595872729735651,"('efonseca2841', 'traficogt')"
1089288335384813569,128738653,mentioned,1830565577024295324,"('MarinaE41953239', 'IsaPaiz_')"
1089288335384813569,93938886,mentioned,1830565577024295324,"('MarinaE41953239', 'traficogt')"
130530279,980635722,mentioned,1830374609549508775,"('hecch', 'guillepefe2012')"
130530279,93938886,mentioned,1830374609549508775,"('hecch', 'traficogt')"
130530279,372126670,mentioned,1830374609549508775,"('hecch', 'amilcarmontejo')"
130530279,94355727,mentioned,1830374609549508775,"('hecch', 'muniguate')"
130530279,991834302781456384,mentioned,1830374609549508775,"('hecch', 'RQuinonezL')"
980635722,980635722,quote,1830373042205413426,"('guillepefe2012', 'guillepefe2012')"
980635722,93938886,mentioned,1830373042205413426,"('guillepefe2012', 'traficogt')"
980635722,372126670,mentioned,1830373042205413426,"('guillepefe2012', 'amilcarmontejo')"
980635722,94355727,mentioned,1830373042205413426,"('guillepefe2012', 'muniguate')"
980635722,991834302781456384,mentioned,1830373042205413426,"('guillepefe2012', 'RQuinonezL')"
980635722,94355727,mentioned,1828036208452055387,"('guillepefe2012', 'muniguate')"
980635722,372126670,mentioned,1828036208452055387,"('guillepefe2012', 'amilcarmontejo')"
980635722,234804655,mentioned,1828036208452055387,"('guillepefe2012', 'TransmetroGuate')"
980635722,1093494456,mentioned,1828036208452055387,"('guillepefe2012', 'transitogt')"
3432776052,372126670,mentioned,1830343640813875432,"('FlorydePrez2', 'amilcarmontejo')"
3432776052,991834302781456384,mentioned,1830343640813875432,"('FlorydePrez2', 'RQuinonezL')"
3432776052,93938886,mentioned,1830343640813875432,"('FlorydePrez2', 'traficogt')"
268894350,309189262,mentioned,1830250725718536206,"('TTRezZ777', '21KMuniGuate')"
268894350,94355727,mentioned,1830250725718536206,"('TTRezZ777', 'muniguate')"
268894350,991834302781456384,mentioned,1830250725718536206,"('TTRezZ777', 'RQuinonezL')"
268894350,372126670,mentioned,1830250725718536206,"('TTRezZ777', 'amilcarmontejo')"
268894350,93938886,mentioned,1830250725718536206,"('TTRezZ777', 'traficogt')"
268894350,1474213123544469523,mentioned,1830250725718536206,"('TTRezZ777', 'DenunciaEMPAGUA')"
3423428627,4784849268,mentioned,1829973938522476845,"('efonseca2841', 'MUNIVCANALES')"
3423428627,93938886,mentioned,1829973938522476845,"('efonseca2841', 'traficogt')"
1625547320,257722705,mentioned,1829640134024671311,"('kiluluki', 'PrensaComunitar')"
1625547320,93938886,mentioned,1829640134024671311,"('kiluluki', 'traficogt')"
1675556059644043264,40256008,mentioned,1829621559599694214,"('JulioCa75923080', 'EmisorasUnidas')"
1675556059644043264,93938886,mentioned,1829621559599694214,"('JulioCa75923080', 'traficogt')"
1675556059644043264,1168656310751191042,mentioned,1829620455235600639,"('JulioCa75923080', 'Ricigt1')"
1675556059644043264,93938886,mentioned,1829620455235600639,"('JulioCa75923080', 'traficogt')"
93938886,257722705,quote,1829614007977672791,"('traficogt', 'PrensaComunitar')"
1683991765294915586,976875408,mentioned,1829613682365460878,"('Mesas752066', 'monymmorales')"
1683991765294915586,93938886,mentioned,1829613682365460878,"('Mesas752066', 'traficogt')"
567613918,1032020094237466624,mentioned,1829499500777619798,"('DiegoOliva95', 'Noti_Atlantico')"
567613918,93938886,mentioned,1829499500777619798,"('DiegoOliva95', 'traficogt')"
567613918,294223313,mentioned,1829499500777619798,"('DiegoOliva95', 'odioaemetra')"
567613918,94355727,mentioned,1829499500777619798,"('DiegoOliva95', 'muniguate')"
401029028,93938886,mentioned,1829258289097670859,"('FabyCalderon11', 'traficogt')"
1711439190208999424,258996349,mentioned,1829253427953840534,"('KrystaP33861', 'vichoguate')"
1711439190208999424,796626432,mentioned,1829253427953840534,"('KrystaP33861', 'ClimaenGuate')"
1711439190208999424,93938886,mentioned,1829253427953840534,"('KrystaP33861', 'traficogt')"
1711439190208999424,235605750,mentioned,1829253427953840534,"('KrystaP33861', 'sonora969')"
1711439190208999424,87101238,mentioned,1829253427953840534,"('KrystaP33861', 'Sonny_Figueroa')"
1711439190208999424,1617711913063907328,mentioned,1829253427953840534,"('KrystaP33861', 'soyestauser')"
730220333576282112,93938886,mentioned,1828781513342947699,"('Alejandro2024gt', 'traficogt')"
730220333576282112,372126670,mentioned,1828781513342947699,"('Alejandro2024gt', 'amilcarmontejo')"
2732768727,1455885276,mentioned,1827885920420319409,"('ldubon63', 'Esta_busqueda')"
2732768727,93938886,mentioned,1827885920420319409,"('ldubon63', 'traficogt')"
2732768727,264999518,mentioned,1827885920420319409,"('ldubon63', 'diegoedeleon')"
1420529993856204801,2732768727,mentioned,1827871866985369759,"('erickpinaleshou', 'ldubon63')"
1420529993856204801,1767300056569315328,mentioned,1827871866985369759,"('erickpinaleshou', 'eP_investiga')"
1420529993856204801,93938886,mentioned,1827871866985369759,"('erickpinaleshou', 'traficogt')"
52448814,425425943,mentioned,1827870045646508235,"('vhcb', 'danydoggy')"
52448814,93938886,mentioned,1827870045646508235,"('vhcb', 'traficogt')"
